Datum;Binnengekomen bij Provider;Doorgeleid naar keuzemenu;Door beller opgehangen in menu;Automatisch behandeld in menu;Thema;Gekozen voor thema incl. doorverbindingen;In de wachtrij;Door beller opgehangen in de wachtrij;Geholpen door medewerker;Gemiddelde wachttijd (s);;
02/01/2019;43649,00;43628,00;7557,00;1754,00;TOTAAL;43269,00;41499,00;5554,00;35945,00;356;;
02/01/2019;;;;;PARTICULIEREN;11942,00;11334,00;1661,00;9673,00;429;;
02/01/2019;;;;;TOESLAGEN;11311,00;11249,00;2133,00;9116,00;555;;
02/01/2019;;;;;ONDERNEMINGEN;7185,00;7095,00;296,00;6799,00;163;;
02/01/2019;;;;;AUTO;4834,00;3993,00;454,00;3539,00;291;;
02/01/2019;;;;;BUITENLAND;2897,00;2867,00;629,00;2238,00;231;;
02/01/2019;;;;;OVERIG;2560,00;2424,00;266,00;2158,00;385;;
02/01/2019;;;;;INTERMEDIAIRS;2287,00;2285,00;111,00;2174,00;53;;
02/01/2019;;;;;DOUANE;253,00;252,00;4,00;248,00;28;;
03/01/2019;36956,00;36940,00;4498,00;1406,00;TOTAAL;41432,00;40945,00;2636,00;38309,00;138;;
03/01/2019;;;;;PARTICULIEREN;10608,00;10608,00;305,00;10303,00;95;;
03/01/2019;;;;;TOESLAGEN;10566,00;10566,00;461,00;10105,00;116;;
03/01/2019;;;;;ONDERNEMINGEN;6749,00;6654,00;260,00;6394,00;150;;
03/01/2019;;;;;AUTO;4183,00;3945,00;326,00;3619,00;202;;
03/01/2019;;;;;BUITENLAND;3268,00;3239,00;919,00;2320,00;307;;
03/01/2019;;;;;INTERMEDIAIRS;3035,00;2932,00;208,00;2724,00;87;;
03/01/2019;;;;;OVERIG;2793,00;2778,00;145,00;2633,00;185;;
03/01/2019;;;;;DOUANE;230,00;223,00;12,00;211,00;52;;
04/01/2019;33124,00;33107,00;4336,00;1344,00;TOTAAL;36984,00;36036,00;1885,00;34151,00;112;;
04/01/2019;;;;;PARTICULIEREN;9445,00;9445,00;212,00;9233,00;90;;
04/01/2019;;;;;TOESLAGEN;8290,00;8290,00;95,00;8195,00;13;;
04/01/2019;;;;;ONDERNEMINGEN;5960,00;5846,00;242,00;5604,00;146;;
04/01/2019;;;;;AUTO;4955,00;4390,00;327,00;4063,00;140;;
04/01/2019;;;;;INTERMEDIAIRS;2910,00;2737,00;185,00;2552,00;107;;
04/01/2019;;;;;BUITENLAND;2671,00;2665,00;582,00;2083,00;267;;
04/01/2019;;;;;OVERIG;2529,00;2439,00;231,00;2208,00;301;;
04/01/2019;;;;;DOUANE;224,00;224,00;11,00;213,00;17;;
07/01/2019;47306,00;47293,00;6590,00;1993,00;TOTAAL;50870,00;50549,00;2704,00;47845,00;128;;
07/01/2019;;;;;PARTICULIEREN;13956,00;13956,00;346,00;13610,00;99;;
07/01/2019;;;;;TOESLAGEN;11680,00;11680,00;272,00;11408,00;46;;
07/01/2019;;;;;ONDERNEMINGEN;8687,00;8569,00;625,00;7944,00;259;;
07/01/2019;;;;;AUTO;5257,00;5089,00;307,00;4782,00;156;;
07/01/2019;;;;;INTERMEDIAIRS;3727,00;3727,00;132,00;3595,00;39;;
07/01/2019;;;;;BUITENLAND;3706,00;3698,00;853,00;2845,00;270;;
07/01/2019;;;;;OVERIG;3569,00;3542,00;150,00;3392,00;159;;
07/01/2019;;;;;DOUANE;288,00;288,00;19,00;269,00;43;;
08/01/2019;46805,00;46784,00;7650,00;2398,00;TOTAAL;47490,00;47116,00;2849,00;44267,00;144;;
08/01/2019;;;;;PARTICULIEREN;15199,00;15199,00;747,00;14452,00;191;;
08/01/2019;;;;;TOESLAGEN;9458,00;9458,00;286,00;9172,00;64;;
08/01/2019;;;;;ONDERNEMINGEN;7926,00;7710,00;426,00;7284,00;175;;
08/01/2019;;;;;AUTO;4458,00;4458,00;121,00;4337,00;66;;
08/01/2019;;;;;INTERMEDIAIRS;3956,00;3918,00;181,00;3737,00;75;;
08/01/2019;;;;;BUITENLAND;3241,00;3128,00;995,00;2133,00;385;;
08/01/2019;;;;;OVERIG;2979,00;2979,00;74,00;2905,00;126;;
08/01/2019;;;;;DOUANE;273,00;266,00;19,00;247,00;75;;
09/01/2019;39735,00;39715,00;6216,00;2119,00;TOTAAL;42011,00;41922,00;1948,00;39974,00;111;;
09/01/2019;;;;;PARTICULIEREN;13025,00;13025,00;446,00;12579,00;142;;
09/01/2019;;;;;TOESLAGEN;8293,00;8293,00;179,00;8114,00;44;;
09/01/2019;;;;;ONDERNEMINGEN;7076,00;7028,00;266,00;6762,00;145;;
09/01/2019;;;;;AUTO;3886,00;3873,00;98,00;3775,00;52;;
09/01/2019;;;;;INTERMEDIAIRS;3642,00;3634,00;127,00;3507,00;41;;
09/01/2019;;;;;BUITENLAND;3044,00;3032,00;723,00;2309,00;287;;
09/01/2019;;;;;OVERIG;2746,00;2744,00;85,00;2659,00;115;;
09/01/2019;;;;;DOUANE;299,00;293,00;24,00;269,00;54;;
10/01/2019;39564,00;39548,00;5828,00;1794,00;TOTAAL;42124,00;41207,00;2841,00;38366,00;156;;
10/01/2019;;;;;PARTICULIEREN;12087,00;12035,00;604,00;11431,00;140;;
10/01/2019;;;;;TOESLAGEN;9099,00;9099,00;482,00;8617,00;129;;
10/01/2019;;;;;ONDERNEMINGEN;7128,00;6751,00;416,00;6335,00;185;;
10/01/2019;;;;;AUTO;4098,00;3752,00;305,00;3447,00;199;;
10/01/2019;;;;;INTERMEDIAIRS;3788,00;3754,00;223,00;3531,00;74;;
10/01/2019;;;;;BUITENLAND;2856,00;2793,00;669,00;2124,00;298;;
10/01/2019;;;;;OVERIG;2777,00;2736,00;120,00;2616,00;197;;
10/01/2019;;;;;DOUANE;291,00;287,00;22,00;265,00;57;;
